itemid,hotelid,hotelname,features
701,2096226,Ibis Woerthersee,ptype=hotels|star=3|amen=air conditioning|amen=closet|amen=clothes dryer|amen=clothes rack|amen=free bottled water|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=satellitecable channels|amen=telephone|amen=toiletries|amen=woodenparqueted flooring
702,2096374,Mercure Salzburg Central,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=carpeting|amen=closet|amen=coffeetea maker|amen=daily housekeeping|amen=desk|amen=extra long bed|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=laptop safe box|amen=linens|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
703,2096374,Mercure Salzburg Central,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=carpeting|amen=closet|amen=coffeetea maker|amen=daily housekeeping|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=laptop safe box|amen=linens|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
704,4593494,Hotel Restaurant Sailer,ptype=hotels|star=3|amen=air conditioning|amen=closet|amen=clothes rack|amen=coffeetea maker|amen=desk|amen=dishwasher|amen=extra long bed|amen=free wi-fi in all rooms|amen=full kitchen|amen=hair dryer|amen=heating|amen=in-room safe box|amen=kitchenware|amen=linens|amen=mini bar|amen=private entrance|amen=refrigerator|amen=satellitecable channels|amen=separate dining area|amen=smoke detector|amen=sofa|amen=toiletries|amen=towels
705,4593494,Hotel Restaurant Sailer,ptype=hotels|star=3|amen=air conditioning|amen=closet|amen=clothes rack|amen=desk|amen=extra long bed|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=private entrance|amen=satellitecable channels|amen=smoke detector|amen=toiletries|amen=towels
706,4919607,Renona Rehabilitation,ptype=hotels|star=3|amen=additional toilet|amen=air conditioning|amen=closet|amen=desk|amen=dressing room|amen=extra long bed|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=high chair|amen=in-room safe box|amen=linens|amen=microwave|amen=private entrance|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=telephone|amen=toiletries|amen=towels|amen=woodenparqueted flooring
707,4919607,Renona Rehabilitation,ptype=hotels|star=3|amen=additional toilet|amen=air conditioning|amen=closet|amen=desk|amen=dressing room|amen=extra long bed|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=high chair|amen=in-room safe box|amen=linens|amen=microwave|amen=private entrance|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=telephone|amen=toiletries|amen=towels|amen=woodenparqueted flooring
708,4919607,Renona Rehabilitation,ptype=hotels|star=3|amen=additional toilet|amen=air conditioning|amen=closet|amen=desk|amen=dressing room|amen=extra long bed|amen=free wi-fi in all rooms|amen=heating|amen=high chair|amen=in-room safe box|amen=linens|amen=microwave|amen=private entrance|amen=refrigerator|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=telephone|amen=toiletries|amen=towels|amen=woodenparqueted flooring
709,6491407,Hotel Deutschmeister,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=closet|amen=clothes rack|amen=desk|amen=fan|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=telephone|amen=toiletries|amen=umbrella
710,6491407,Hotel Deutschmeister,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=closet|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
711,6491407,Hotel Deutschmeister,ptype=hotels|star=3|amen=air conditioning|amen=alarm clock|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=scale|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
712,6491407,Hotel Deutschmeister,ptype=hotels|star=3|amen=air conditioning|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=shower|amen=telephone|amen=toiletries|amen=towels
713,6491407,Hotel Deutschmeister,ptype=hotels|star=3|amen=air conditioning|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=shower|amen=telephone|amen=toiletries|amen=towels
714,6491407,Hotel Deutschmeister,ptype=hotels|star=3|amen=air conditioning|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=shower|amen=telephone|amen=toiletries|amen=towels
715,6491407,Hotel Deutschmeister,ptype=hotels|star=3|amen=air conditioning|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=telephone|amen=toiletries|amen=towels
716,6491407,Hotel Deutschmeister,ptype=hotels|star=3|amen=air conditioning|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
717,6491407,Hotel Deutschmeister,ptype=hotels|star=3|amen=air conditioning|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
718,6491407,Hotel Deutschmeister,ptype=hotels|star=3|amen=air conditioning|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=telephone|amen=toiletries
719,6491407,Hotel Deutschmeister,ptype=hotels|star=3|amen=air conditioning|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=telephone|amen=toiletries
720,6491407,Hotel Deutschmeister,ptype=hotels|star=3|amen=air conditioning|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=telephone|amen=toiletries
721,6536309,arte Hotel Salzburg,ptype=hotels|star=4|amen=air conditioning|amen=closet|amen=clothes rack|amen=coffeetea maker|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=linens|amen=mini bar|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service|amen=woodenparqueted flooring
